time,longitude,latitude,u,v,magnitud
01-Sep-2024,-105,18,2.47726440429688,0.196029663085938,2.48500836167727
01-Sep-2024,-104.75,18,-0.264963785807292,-0.413955688476562,0.491492746448447
01-Sep-2024,-104.5,18,1.00424194335938,-0.648045857747396,1.19518421782827
01-Sep-2024,-104.25,18,0.775156656901042,0.591334025065104,0.974958343693563
01-Sep-2024,-104,18,-0.401885986328125,-0.686620076497396,0.795587503330853
01-Sep-2024,-103.75,18,2.12806193033854,-0.371922810872396,2.16031806838795
01-Sep-2024,-103.5,18,0.0464375813802083,0.0575612386067708,0.0739577254544045
01-Sep-2024,-103.25,18,0.364267985026042,-0.289932250976562,0.46556618763745
01-Sep-2024,-103,18,1.80307006835938,0.0905202229817708,1.80534084930856
01-Sep-2024,-102.75,18,-0.165842692057292,-0.0767567952473958,0.182744094639089
01-Sep-2024,-102.5,18,2.41016642252604,-0.344579060872396,2.43467388236365
01-Sep-2024,-102.25,18,0.219207763671875,0.277247111002604,0.353437412017057
01-Sep-2024,-102,18,0.0380147298177083,0.208277384440104,0.211718181912476
01-Sep-2024,-101.75,18,2.84290568033854,-0.506322224934896,2.88764175457486
01-Sep-2024,-101.5,18,-0.132843017578125,0.608545939127604,0.622876735275897
01-Sep-2024,-101.25,18,1.43571980794271,-0.347345987955729,1.47713933068888
01-Sep-2024,-101,18,1.74036661783854,0.168319702148438,1.74848719944359
01-Sep-2024,-100.75,18,-0.0672505696614583,-0.171686808268229,0.18438817546991
01-Sep-2024,-100.5,18,3.47889200846354,-0.496515909830729,3.51414536626852
01-Sep-2024,-100.25,18,0.401865641276042,-0.105321248372396,0.415437791970018
01-Sep-2024,-100,18,0.807668050130208,-0.405532836914062,0.903761340740298
01-Sep-2024,-99.75,18,3.16447957356771,-0.381607055664062,3.18740567177444
01-Sep-2024,-99.5,18,0.531260172526042,0.0940602620442708,0.539522662923659
01-Sep-2024,-99.25,18,2.69157918294271,0.0598398844401042,2.69224428865962
01-Sep-2024,-99,18,2.36707560221354,0.214177449544271,2.37674543998466
01-Sep-2024,-98.75,18,0.202443440755208,-0.163670857747396,0.260329591826546
01-Sep-2024,-98.5,18,3.53195190429688,0.120712280273438,3.53401410705661
01-Sep-2024,-98.25,18,0.865244547526042,0.716700236002604,1.12352452367972
01-Sep-2024,-98,18,1.33314005533854,0.316350301106771,1.37016054539546
01-Sep-2024,-97.75,18,3.49443562825521,1.43528747558594,3.7777149836367
01-Sep-2024,-97.5,18,-0.290273030598958,-0.378880818684896,0.477293522960914
01-Sep-2024,-97.25,18,2.86231486002604,1.30670674641927,3.14647880639033
01-Sep-2024,-97,18,1.34302775065104,1.26560974121094,1.84539739787039
01-Sep-2024,-96.75,18,0.223561604817708,0.418401082356771,0.474383027590561
01-Sep-2024,-96.5,18,3.68120320638021,2.92267354329427,4.70034867720856
01-Sep-2024,-96.25,18,-0.373402913411458,-0.129857381184896,0.39533868415874
01-Sep-2024,-96,18,1.52080281575521,2.08258565266927,2.57876020698181
01-Sep-2024,-95.75,18,1.90512084960938,1.75218200683594,2.5883638145933
01-Sep-2024,-95.5,18,-0.440500895182292,1.01731872558594,1.10859299478402
01-Sep-2024,-95.25,18,2.61727905273438,2.7092539469401,3.76698906142461
01-Sep-2024,-95,18,0.0214131673177083,-0.476211547851562,0.476692733363702
01-Sep-2024,-94.75,18,0.484751383463542,2.4707285563151,2.51783309668467
01-Sep-2024,-94.5,18,1.82300821940104,1.20860290527344,2.18725397488247
01-Sep-2024,-94.25,18,-1.06602986653646,0.332585652669271,1.11670626966503
01-Sep-2024,-94,18,1.73182169596354,2.9604746500651,3.42981290164466
01-Sep-2024,-93.75,18,0.193532307942708,-0.195490519205729,0.275084164060669
01-Sep-2024,-93.5,18,-0.252960205078125,2.39244079589844,2.40577676172007
01-Sep-2024,-93.25,18,1.81246948242188,2.4085947672526,3.01436135483907
01-Sep-2024,-93,18,-1.12897745768229,0.143173217773438,1.13801962647503
01-Sep-2024,-92.75,18,0.679860432942708,3.31126403808594,3.38033722255668
01-Sep-2024,-92.5,18,0.697723388671875,1.34418233235677,1.51447815095493
01-Sep-2024,-92.25,18,-0.899566650390625,1.7977549235026,2.01025941695913
01-Sep-2024,-92,18,0.968963623046875,3.1163584391276,3.26352270160787
01-Sep-2024,-91.75,18,-0.839060465494792,0.660792032877604,1.06802086846225
01-Sep-2024,-91.5,18,-0.308705647786458,2.7882334391276,2.80527091170258
01-Sep-2024,-91.25,18,0.527109781901042,2.43231709798177,2.48877704652511
01-Sep-2024,-91,18,-1.33348592122396,0.757024129231771,1.53338522046537
01-Sep-2024,-90.75,18,0.153330485026042,3.0720469156901,3.07587101319925
01-Sep-2024,-90.5,18,-0.794016520182292,0.979761759440104,1.26110877389049
01-Sep-2024,-90.25,18,-0.741404215494792,2.3730723063151,2.48619234608932
01-Sep-2024,-90,18,-0.222401936848958,2.8336435953776,2.84235793789922
01-Sep-2024,-105,17.75,-1.32624308268229,0.206039428710938,1.3421523611521
01-Sep-2024,-104.75,17.75,-0.257476806640625,3.11237080891927,3.12300277908468
01-Sep-2024,-104.5,17.75,-0.935333251953125,1.03123474121094,1.39222605337265
01-Sep-2024,-104.25,17.75,-0.853708902994792,1.9601084391276,2.13795322310658
01-Sep-2024,-104,17.75,-0.912424723307292,2.87885030110677,3.01998310125817
01-Sep-2024,-103.75,17.75,-1.20425415039062,-0.0747222900390625,1.20657013031225
01-Sep-2024,-103.5,17.75,-0.325388590494792,3.09214782714844,3.10922111143016
01-Sep-2024,-103.25,17.75,-1.23851521809896,1.27452087402344,1.77716724136593
01-Sep-2024,-103,17.75,-0.437367757161458,1.47003682454427,1.53372058097968
01-Sep-2024,-102.75,17.75,-1.27733357747396,2.7762705485026,3.0560201613578
01-Sep-2024,-102.5,17.75,-0.614939371744792,0.0710296630859375,0.619027983180067
01-Sep-2024,-102.25,17.75,-0.0811258951822917,2.8640391031901,2.86518784645459
01-Sep-2024,-102,17.75,-1.54975382486979,1.26219177246094,1.99871583477157
01-Sep-2024,-101.75,17.75,0.623992919921875,1.91319274902344,2.01238009805019
01-Sep-2024,-101.5,17.75,-1.15819295247396,2.32648213704427,2.59883243960561
01-Sep-2024,-101.25,17.75,0.109629313151042,1.31150817871094,1.31608217415466
01-Sep-2024,-101,17.75,0.624399820963542,2.68345642089844,2.75514309960124
01-Sep-2024,-100.75,17.75,-1.73338826497396,1.48362731933594,2.28161892081683
01-Sep-2024,-100.5,17.75,1.74573771158854,3.3178965250651,3.74913823547512
01-Sep-2024,-100.25,17.75,-0.391469319661458,2.13153584798177,2.16718557107313
01-Sep-2024,-100,17.75,0.390472412109375,2.52570088704427,2.55570610114597
01-Sep-2024,-99.75,17.75,1.80184936523438,2.7849375406901,3.31700742244279
01-Sep-2024,-99.5,17.75,-1.29315630594889,1.36731719970703,1.8819695949271
01-Sep-2024,-99.25,17.75,2.05067443847656,0.456995646158854,2.10097850375231
01-Sep-2024,-99,17.75,-0.380966186523438,-0.379877726236979,0.537998440671707
01-Sep-2024,-98.75,17.75,1.53350321451823,-0.478103637695312,1.60630482702233
01-Sep-2024,-98.5,17.75,0.170181274414062,0.786259969075521,0.804466534500866
01-Sep-2024,-98.25,17.75,-0.748397827148438,-0.303787231445312,0.807704147364436
01-Sep-2024,-98,17.75,2.20887756347656,-0.274653116861979,2.22588733430786
01-Sep-2024,-97.75,17.75,0.102147420247396,0.366093953450521,0.380077463441639
01-Sep-2024,-97.5,17.75,0.601821899414062,-0.372105916341146,0.70756795545759
01-Sep-2024,-97.25,17.75,0.698623657226562,0.219650268554688,0.732339576230019
01-Sep-2024,-97,17.75,-0.254257202148438,0.445032755533854,0.512543537996926
01-Sep-2024,-96.75,17.75,2.62013244628906,-0.690912882486979,2.70969641238335
