time,longitude,latitude,pco2_uatm
2024-09-01,-97.25,10.25,390.56897
2024-09-01,-97.0,10.25,391.55502
2024-09-01,-96.75,10.25,394.65002
2024-09-01,-96.5,10.25,401.29514
2024-09-01,-96.25,10.25,413.88458
2024-09-01,-96.0,10.25,422.92548
2024-09-01,-95.75,10.25,421.7255
2024-09-01,-95.5,10.25,412.52014
2024-09-01,-95.25,10.25,405.0317
2024-09-01,-95.0,10.25,406.31467
2024-09-01,-94.75,10.25,414.87524
2024-09-01,-94.5,10.25,444.8901
2024-09-01,-94.25,10.25,462.68494
2024-09-01,-94.0,10.25,468.23395
2024-09-01,-93.75,10.25,476.97278
2024-09-01,-93.5,10.25,481.03348
2024-09-01,-93.25,10.25,477.81314
2024-09-01,-93.0,10.25,474.55966
2024-09-01,-92.75,10.25,474.17447
2024-09-01,-92.5,10.25,474.02625
2024-09-01,-92.25,10.25,473.5056
2024-09-01,-92.0,10.25,473.8015
2024-09-01,-91.75,10.25,483.71875
2024-09-01,-91.5,10.25,500.0098
2024-09-01,-91.25,10.25,506.78674
2024-09-01,-91.0,10.25,522.41504
2024-09-01,-90.75,10.25,528.88184
2024-09-01,-90.5,10.25,484.3133
2024-09-01,-90.25,10.25,410.88223
2024-09-01,-90.0,10.25,378.6284
2024-09-01,-110.0,10.5,414.3518
2024-09-01,-109.75,10.5,407.62152
2024-09-01,-109.5,10.5,405.1728
2024-09-01,-109.25,10.5,403.6946
2024-09-01,-109.0,10.5,402.61566
2024-09-01,-108.75,10.5,403.1917
2024-09-01,-108.5,10.5,402.51025
2024-09-01,-108.25,10.5,396.1116
2024-09-01,-108.0,10.5,391.2068
2024-09-01,-107.75,10.5,392.3619
2024-09-01,-107.5,10.5,396.8011
2024-09-01,-107.25,10.5,402.08255
2024-09-01,-107.0,10.5,408.99075
2024-09-01,-106.75,10.5,411.40262
2024-09-01,-106.5,10.5,410.80533
2024-09-01,-106.25,10.5,407.81384
2024-09-01,-106.0,10.5,404.50092
2024-09-01,-105.75,10.5,402.99496
2024-09-01,-105.5,10.5,400.26917
2024-09-01,-105.25,10.5,398.38406
2024-09-01,-105.0,10.5,397.65234
2024-09-01,-104.75,10.5,402.30957
2024-09-01,-104.5,10.5,409.43814
2024-09-01,-104.25,10.5,410.2276
2024-09-01,-104.0,10.5,409.85016
2024-09-01,-103.75,10.5,411.60794
2024-09-01,-103.5,10.5,414.61807
2024-09-01,-103.25,10.5,419.7094
2024-09-01,-103.0,10.5,427.7115
2024-09-01,-102.75,10.5,433.4344
2024-09-01,-102.5,10.5,437.35123
2024-09-01,-102.25,10.5,439.8453
2024-09-01,-102.0,10.5,440.41446
2024-09-01,-101.75,10.5,440.1553
2024-09-01,-101.5,10.5,439.47742
