time,latitude,longitude,u,v,mag,pco2_uatm,ssh,sst,sss,chl
2024-09-01,10.0,-93.75,-1.292160034,-1.614196777,2.067681985,457.4619,0.12691471,29.809599,33.240196,0.3001966
2024-09-01,10.0,-93.5,4.43888855,5.963851929,7.434464432,472.2719,0.16043624,29.587118,32.99367,0.29741815
2024-09-01,10.0,-93.25,-2.268066406,0.783676147,2.399640291,469.6674,0.15070455,28.367197,33.20736,0.30806953
2024-09-01,10.0,-93.0,-1.601211548,-0.091827393,1.603842477,465.32895,0.12617402,28.767147,33.55947,0.312476
2024-09-01,10.0,-92.75,3.413467407,2.635192871,4.312308107,463.91638,0.1953761,28.695023,32.876198,0.32441208
2024-09-01,10.0,-92.5,3.784179688,1.748123169,4.168447016,490.7887,0.17348744,28.752632,33.907322,0.3324325
2024-09-01,10.0,-92.25,2.378540039,-0.665603638,2.469915165,410.50104,0.1386224,27.88789,33.896893,0.30799118
2024-09-01,10.0,-92.0,1.770996094,-0.651626587,1.887072964,446.47842,0.1716706,28.594738,34.07956,0.30990422
2024-09-01,10.0,-91.75,4.646514893,0.69039917,4.697526121,481.0088,0.121151894,30.235167,33.84567,0.30833507
2024-09-01,10.0,-91.5,3.748672485,2.08505249,4.289520869,478.0281,0.1276062,27.931732,34.01425,0.30848783
2024-09-01,10.0,-91.25,1.119689941,-0.78024292,1.364728757,509.00928,0.1158865,28.161842,33.645855,0.33815533
2024-09-01,10.0,-91.0,3.776016235,2.44052124,4.496047435,534.34546,0.2027605,28.71584,33.398834,0.31295663
2024-09-01,10.0,-90.75,-4.773773193,0.532684326,4.803401201,359.2472,0.12952353,29.615648,32.980206,0.31327227
2024-09-01,10.0,-90.5,2.507766724,1.197463989,2.778995132,513.73346,0.19495495,29.888517,33.393635,0.35947865
2024-09-01,10.0,-90.25,2.967269897,2.148605347,3.663494995,432.3515,0.12535608,29.988325,32.760246,0.35636786
2024-09-01,10.0,-90.0,4.096908569,1.528030396,4.372589246,369.24005,0.14776905,29.95333,32.95476,0.38106304
2024-09-01,10.25,-105.0,-4.376907349,5.000259399,6.645292469,389.78683,0.26713118,28.513367,33.38695,0.2995061
2024-09-01,10.25,-104.75,6.500762939,0.908126831,6.563887045,388.9362,0.2747126,28.285305,33.29232,0.2918803
2024-09-01,10.25,-104.5,6.239578247,4.517868042,7.703471188,385.87134,0.2823468,28.183807,32.994713,0.30301276
2024-09-01,10.25,-104.25,3.389297485,4.18812561,5.387739189,413.32025,0.2626819,28.534025,33.309177,0.2986341
2024-09-01,10.25,-104.0,4.598815918,4.239929199,6.255086527,390.86603,0.25079292,28.425076,33.189632,0.31790924
2024-09-01,10.25,-103.75,7.758956909,0.358398438,7.767229993,391.9313,0.27386984,28.554514,32.942543,0.32805014
2024-09-01,10.25,-103.5,6.415328979,-1.040542603,6.499167241,415.23547,0.26975834,28.636982,33.144356,0.31799278
2024-09-01,10.25,-103.25,0.335968018,-0.050964355,0.339811528,422.08093,0.2089395,27.86701,32.942135,0.34666905
2024-09-01,10.25,-103.0,6.862792969,-1.141403198,6.957063216,398.13034,0.23500326,28.729403,32.8635,0.28849396
2024-09-01,10.25,-102.75,6.464904785,4.59954834,7.934156465,409.76315,0.18180083,28.044722,33.162846,0.30749
2024-09-01,10.25,-102.5,5.865493774,-1.459701538,6.044397885,436.69092,0.22211635,29.015913,33.221046,0.24586233
2024-09-01,10.25,-102.25,4.595932007,4.274124146,6.276203329,420.32578,0.15074293,28.145905,33.760227,0.30824593
2024-09-01,10.25,-102.0,-0.503250122,1.933303833,1.997729811,433.6121,0.14869319,28.629807,33.290726,0.38358775
2024-09-01,10.25,-101.75,10.09584045,1.860671997,10.26587038,436.19983,0.1788343,28.395742,33.42026,0.38070628
2024-09-01,10.25,-101.5,8.444854736,-0.561019897,8.463469433,436.8531,0.17004658,28.536905,33.536125,0.3346041
2024-09-01,10.25,-101.25,1.117019653,-1.456298828,1.835358053,433.04672,0.13852914,28.13865,33.708286,0.32747203
2024-09-01,10.25,-101.0,5.789169312,4.62600708,7.410426629,428.02814,0.112755224,28.17274,33.569588,0.32740575
2024-09-01,10.25,-100.75,5.992294312,4.366241455,7.414287259,443.90836,0.1382876,28.627644,33.517548,0.35732788
2024-09-01,10.25,-100.5,3.466949463,3.364135742,4.830853741,439.3305,0.15068866,29.110495,33.16394,0.32153478
2024-09-01,10.25,-100.25,1.860977173,-2.015609741,2.743340786,428.6444,0.13429911,28.358425,33.27504,0.3084097
2024-09-01,10.25,-100.0,2.671783447,1.116470337,2.895674844,432.36755,0.15398686,29.395891,32.951195,0.33060387
2024-09-01,10.25,-99.75,-0.34992981,-0.690231323,0.773867011,426.70883,0.15959764,28.66198,32.932014,0.32309863
2024-09-01,10.25,-99.5,7.810028076,-0.248474121,7.813979648,428.01193,0.21722566,29.354542,32.85341,0.32241333
2024-09-01,10.25,-99.25,7.49307251,0.318496704,7.499838384,423.87952,0.19029826,29.084723,33.202293,0.32898983
2024-09-01,10.25,-99.0,2.97177124,3.446212769,4.550583122,419.66458,0.19432625,28.914076,33.097893,0.3467164
